,1GWh,2GWh,3GWh,4GWh,5GWh,6GWh,7GWh,8GWh,9GWh,10GWh
loc_002,0.27517124658469894,0.27517124658469894,0.27517124658469894,0.27517124658469894,0.27517124658469894,0.27517124658469894,0.27517124658469894,0.27517124658469894,0.27517124658469894,0.27517124658469894
loc_000,0.15101913251366167,0.15101913251366167,0.15101913251366167,0.15101913251366167,0.15101913251366167,0.15101913251366167,0.15101913251366167,0.15101913251366167,0.15101913251366167,0.15101913251366167
loc_008,0.14602060450819654,0.14602060450819654,0.14602060450819654,0.14602060450819654,0.14602060450819654,0.14602060450819654,0.14602060450819654,0.14602060450819654,0.14602060450819654,0.14602060450819654
loc_003,0.24302426001821448,0.24302426001821448,0.24302426001821448,0.24302426001821448,0.24302426001821448,0.24302426001821448,0.24302426001821448,0.24302426001821448,0.24302426001821448,0.24302426001821448
loc_009,0.1259106705373407,0.1259106705373407,0.1259106705373407,0.1259106705373407,0.1259106705373407,0.1259106705373407,0.1259106705373407,0.1259106705373407,0.1259106705373407,0.1259106705373407
loc_007,0.12144288706739562,0.12144288706739562,0.12144288706739562,0.12144288706739562,0.12144288706739562,0.12144288706739562,0.12144288706739562,0.12144288706739562,0.12144288706739562,0.12144288706739562
loc_005,0.191280397313297,0.191280397313297,0.191280397313297,0.191280397313297,0.191280397313297,0.191280397313297,0.191280397313297,0.191280397313297,0.191280397313297,0.191280397313297
loc_004,0.11074401639344297,0.11074401639344297,0.11074401639344297,0.11074401639344297,0.11074401639344297,0.11074401639344297,0.11074401639344297,0.11074401639344297,0.11074401639344297,0.11074401639344297
loc_001,0.14522174066484575,0.14522174066484575,0.14522174066484575,0.14522174066484575,0.14522174066484575,0.14522174066484575,0.14522174066484575,0.14522174066484575,0.14522174066484575,0.14522174066484575
loc_006,0.11424012408925323,0.11424012408925323,0.11424012408925323,0.11424012408925323,0.11424012408925323,0.11424012408925323,0.11424012408925323,0.11424012408925323,0.11424012408925323,0.11424012408925323
loc_012,0.19460840960837916,0.19460840960837916,0.19460840960837916,0.19460840960837916,0.19460840960837916,0.19460840960837916,0.19460840960837916,0.19460840960837916,0.19460840960837916,0.19460840960837916
loc_014,0.08993369990892525,0.08993369990892525,0.08993369990892525,0.08993369990892525,0.08993369990892525,0.08993369990892525,0.08993369990892525,0.08993369990892525,0.08993369990892525,0.08993369990892525
loc_016,0.2340928973132973,0.2340928973132973,0.2340928973132973,0.2340928973132973,0.2340928973132973,0.2340928973132973,0.2340928973132973,0.2340928973132973,0.2340928973132973,0.2340928973132973
loc_011,0.09545584585610205,0.09545584585610205,0.09545584585610205,0.09545584585610205,0.09545584585610205,0.09545584585610205,0.09545584585610205,0.09545584585610205,0.09545584585610205,0.09545584585610205
loc_010,0.23963955373406207,0.23963955373406207,0.23963955373406207,0.23963955373406207,0.23963955373406207,0.23963955373406207,0.23963955373406207,0.23963955373406207,0.23963955373406207,0.23963955373406207
